name,average_life,contracts,deaths,downs,games_played,kdr,kills,score,spg,spm,time_played,top10,top25,top5,weekly_damage,weekly_damage_pg,weekly_damage_pm,weekly_headshotpct,weekly_kdr,weekly_kills,weekly_kpg,weekly_matches_played,weekly_spg,weekly_spm,wins,wl_ratio,classification,hacker
timthetatman#4119609,418.66865037194475,4643,9410,25369,3752,2.66,25016,23649788,6303.25,360.18,3939672,1687,2624,1244,95452,1540.0,41.0,20.08,2.0393700787401574,259,4.18,62,3889.52,103.56,708,18.87,c,no
user42590#1961664,425.1030665792063,5746,12196,54434,5776,4.36,53171,42853780,7419.28,495.94,5184557,2254,3606,1611,35617,1875.0,52.0,16.13,2.5833333333333335,93,4.89,19,4750.0,131.28,860,14.89,c,no
cloakzy#1465165,472.15760163356225,6125,10774,55564,4777,5.03,54247,43151004,9033.08,508.96,5087026,2450,3542,1889,175098,2432.0,65.0,24.25,3.5140845070422535,499,6.93,72,6086.81,163.37,1143,23.93,c,no
Symfuhny#5773991,436.71115529926425,13566,25145,117777,10587,4.4,110678,87703696,8284.09,479.21,10981102,5418,7694,4172,508762,3687.0,89.0,29.28,4.461267605633803,1267,9.18,138,7280.69,175.36,2701,25.51,c,no
teep#7449135,491.65188011400204,16002,21754,116294,9542,5.16,112161,91493208,9588.47,513.27,10695395,5524,7660,4322,313544,3266.0,77.0,18.84,4.184684684684685,929,9.68,96,8761.82,207.55,2682,28.11,c,no
merkjjd,433.3252558408959,12947,20716,92550,8066,4.29,88925,72963136,9045.76,487.68,8976766,4654,6376,3680,351923,3519.0,82.0,19.59,3.907949790794979,934,9.34,100,8655.15,201.86,2326,28.84,c,no
maven#3128284,501.7770787916537,10885,16055,56492,7429,3.23,51854,51317192,6907.69,382.2,8056031,4158,5721,3214,132104,1915.0,46.0,18.65,2.5153846153846153,327,4.74,69,5656.52,135.63,1993,26.83,c,no
FaZe Doozy#2757781,392.2502133026672,15506,26957,129409,12582,4.59,123811,98562800,7833.64,559.28,10573889,4174,7274,2958,434720,2588.0,68.0,13.24,3.495890410958904,1276,7.6,168,7064.43,184.93,1645,13.07,c,no
FaZe JSmooth#3470818,325.76183039200373,9289,19209,36497,8052,1.98,37985,37074704,4604.41,355.49,6257559,2251,4297,1533,198431,1711.0,46.0,18.23,2.1240601503759398,565,4.87,116,5156.25,137.57,799,9.92,c,no
FaZe Booya#7763291,389.6733248492226,9978,18073,89955,8240,4.76,86090,63069704,7654.09,537.33,7042566,2767,4805,1985,319820,2538.0,68.0,18.88,4.3392070484581495,985,7.82,126,6578.97,175.45,1161,14.09,c,no
faze nio#8564544,425.7783165599268,3276,10930,46590,5110,4.4,48110,35821556,7010.09,461.84,4653757,1669,3129,1107,109959,1964.0,54.0,11.11,2.448,306,5.46,56,4731.25,130.11,562,11.0,c,no
Huskerrs,371.92229878814624,13625,29459,133389,11919,4.78,140792,98228272,8241.32,537.92,10956459,4355,7303,3139,656553,3709.0,96.0,16.49,4.133971291866029,1728,9.76,177,7255.17,188.53,1894,15.89,c,no
Dougisraw,388.7458220359872,9795,20285,85866,8457,4.27,86598,71807976,8490.95,546.37,7885709,3252,5400,2410,366113,2206.0,59.0,16.35,3.760869565217391,1211,7.3,166,6346.84,170.61,1425,16.85,c,no
zlaner#1131430,474.89194676291453,6773,13299,80023,6365,5.93,78839,63892968,10038.17,607.01,6315588,2749,4177,2023,222513,3007.0,81.0,18.05,4.4630872483221475,665,8.99,74,6884.12,186.36,1214,19.07,c,no
drdisrespect#9218550,346.51846611008915,2367,7067,13589,2880,2.31,16327,13573835,4713.14,332.58,2448846,790,1462,531,60698,1167.0,34.0,21.88,1.6,160,3.08,52,3052.6,89.08,270,9.38,c,no
Aydan#1734445,371.83932941115216,5264,19207,99762,8284,5.15,98956,69455280,8384.27,583.51,7141918,2612,4302,1841,311079,2753.0,78.0,20.9,3.7341772151898733,885,7.83,113,5490.71,156.4,1070,12.92,c,no
100T Rated#8509301,387.45493409333807,7058,16842,81675,7937,4.77,80329,58962068,7428.76,542.14,6525516,2356,4004,1610,164160,2312.0,67.0,13.59,3.49645390070922,493,6.94,71,5780.63,167.17,888,11.19,c,no
destroy#3246061,388.8575432811212,6114,18195,80500,8173,4.58,83276,60367040,7386.15,511.93,7075263,2725,4477,1957,182025,2460.0,68.0,17.19,3.5359477124183005,541,7.31,74,6458.45,177.49,1161,14.21,c,no
mutex#1740605,398.98252600780233,7909,24608,110422,11947,5.73,141054,111063184,9296.32,678.72,9818162,3314,5683,2288,313096,2676.0,74.0,22.53,4.621004566210046,1012,8.65,117,6919.02,190.64,1387,11.61,c,no
CouRageJD#6520410,469.65432692307695,2630,4160,14142,1560,3.26,13582,13855120,8881.49,425.5,1953762,988,1372,752,16362,2045.0,44.0,21.62,1.48,37,4.62,8,7256.25,155.26,418,26.79,c,no
NoahJ456,480.61059190031153,1676,2568,8931,999,3.61,9259,9066465,9075.54,440.76,1234208,585,843,437,24100,2410.0,54.0,19.18,3.3181818181818183,73,7.3,10,8695.0,195.28,237,23.72,c,no
playwithahacker#9170785,526.4,3,5,61,5,10.4,52,25450,5090.0,591.86,2632,1,1,0,None,None,None,None,None,None,None,None,None,None,0,0.0,h,yes
lebron james#3337228,1093.5757575757575,16,33,925,30,21.91,723,452835,15094.5,753.47,36088,18,21,18,None,None,None,None,None,None,None,None,None,None,12,40.0,h,yes
elp0wp0w#7840814,1152.8125,5,16,179,14,10.0,160,112300,8021.43,365.8,18445,10,12,8,None,None,None,None,None,None,None,None,None,None,5,35.71,h,yes
